address,living_area,plot_size,price,rooms,url
Beethovenstraat 11 -III 1077 HL Amsterdam,192,,"€ 1,250,000 k.k.",8,https://www.funda.nl/en/koop/amsterdam/appartement-40085192-beethovenstraat-11-iii/?navigateSource=resultlist
Prins Hendrikkade 106 b 1011 AJ Amsterdam,137,,"€ 699,500 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40085446-prins-hendrikkade-106-b/?navigateSource=resultlist
Hermanus Coenradistraat 10 hs 1063 XS Amsterdam,68,,"€ 295,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40074735-hermanus-coenradistraat-10-hs/?navigateSource=resultlist
Baarsjesweg 272 IV 1058 AD Amsterdam,73,,"€ 435,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40074402-baarsjesweg-272-iv/?navigateSource=resultlist
Johann Keplerstraat 77 -boven 1098 HK Amsterdam,117,,"€ 650,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40074488-johann-keplerstraat-77-boven/?navigateSource=resultlist
Jan van Galenstraat 227 -III 1056 BW Amsterdam,60,,"€ 345,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40073456-jan-van-galenstraat-227-iii/?navigateSource=resultlist
Ploegstraat 181 1097 WE Amsterdam,81,,"€ 399,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40071152-ploegstraat-181/?navigateSource=resultlist
Antillenstraat 21 -2 1058 GX Amsterdam,60,,"€ 375,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40071007-antillenstraat-21-2/?navigateSource=resultlist
Circusplein 31 1033 ZG Amsterdam,69,,"€ 250,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40070035-circusplein-31/?navigateSource=resultlist
Hoofdweg 92 -H 1058 BE Amsterdam,48,,"€ 325,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40079296-hoofdweg-92-h/?navigateSource=resultlist
Jan van Zutphenstraat 609 1069 RS Amsterdam,125,,"€ 425,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40078333-jan-van-zutphenstraat-609/?navigateSource=resultlist
Linnaeushof 9 huis 1098 KH Amsterdam,93,,"€ 650,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40076527-linnaeushof-9-huis/?navigateSource=resultlist
Saskia van Uijlenburgkade 102 1058 GA Amsterdam,82,,"€ 495,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-86430036-saskia-van-uijlenburgkade-102/?navigateSource=resultlist
Oudezijds Voorburgwal 316 D 1012 GM Amsterdam,86,,"€ 595,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40075258-oudezijds-voorburgwal-316-d/?navigateSource=resultlist
Elckerlijcstraat 18 HS 1055 AN Amsterdam,111,,"€ 595,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40075665-elckerlijcstraat-18-hs/?navigateSource=resultlist
Laurierstraat 65 -C 1016 PJ Amsterdam,49,,"€ 375,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40075505-laurierstraat-65-c/?navigateSource=resultlist
Nieuwpoortstraat 86 -B1 1055 RZ Amsterdam,69,,"€ 395,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40064594-nieuwpoortstraat-86-b1/?navigateSource=resultlist
Van Spilbergenstraat 160 -1 1057 RP Amsterdam,63,,"€ 375,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40062073-van-spilbergenstraat-160-1/?navigateSource=resultlist
Eerste Jan Steenstraat 133 -huis 1072 NJ Amsterdam,69,,"€ 485,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40058073-eerste-jan-steenstraat-133-huis/?navigateSource=resultlist
Eva Besnyöstraat 359 1087 LG Amsterdam,83,,"€ 345,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-86308956-eva-besnyostraat-359/?navigateSource=resultlist
Johannes van der Waalsstraat 83 hs 1098 PH Amsterdam,84,,"€ 625,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40910647-johannes-van-der-waalsstraat-83-hs/?navigateSource=resultlist
Aalsmeerweg 112 HS 1059 AR Amsterdam,89,,"€ 600,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40915464-aalsmeerweg-112-hs/?navigateSource=resultlist
Paulus Potterstraat 28 II 1071 DA Amsterdam,273,,"€ 1,950,000 k.k.",6,https://www.funda.nl/en/koop/amsterdam/appartement-40908050-paulus-potterstraat-28-ii/?navigateSource=resultlist
Leidsegracht 82 N 1016 CR Amsterdam,98,,"€ 555,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40908073-leidsegracht-82-n/?navigateSource=resultlist
Brederodestraat 10 B 1054 MT Amsterdam,157,,"€ 1,425,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/appartement-40989786-brederodestraat-10-b/?navigateSource=resultlist
Leliegracht 25 B 1016 GR Amsterdam,92,,"€ 1,200,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40843788-leliegracht-25-b/?navigateSource=resultlist
Anthonie van Dijckstraat 11 -I 1077 MG Amsterdam,203,,"€ 1,190,000 k.k.",9,https://www.funda.nl/en/koop/amsterdam/appartement-40814600-anthonie-van-dijckstraat-11-i/?navigateSource=resultlist
