,address,living_area,price,rooms,url
139,Brederodestraat 10 B 1054 MT Amsterdam,157.0,1425.0,5.0,https://www.funda.nl/en/koop/amsterdam/appartement-40989786-brederodestraat-10-b/?navigateSource=resultlist
140,Leliegracht 25 B 1016 GR Amsterdam,92.0,1200.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40843788-leliegracht-25-b/?navigateSource=resultlist
141,Anthonie van Dijckstraat 11 -I 1077 MG Amsterdam,203.0,1190.0,9.0,https://www.funda.nl/en/koop/amsterdam/appartement-40814600-anthonie-van-dijckstraat-11-i/?navigateSource=resultlist
142,Kanteel 1 1083 DA Amsterdam,85.0,400.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40804545-kanteel-1/?navigateSource=resultlist
143,Keizersgracht 83 B 1015 CG Amsterdam,250.0,2100.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40879118-keizersgracht-83-b/?navigateSource=resultlist
144,Eerste Constantijn Huygensstraat 28 -G 1054 BR Amsterdam,117.0,750.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40596483-eerste-constantijn-huygensstraat-28-g/?navigateSource=resultlist
145,Buiksloterbreek 29 1034 XC Amsterdam,89.0,410.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40009921-buiksloterbreek-29/?navigateSource=resultlist
146,H.J. Algrastraat 12 1067 WL Amsterdam,100.0,375.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40005139-hj-algrastraat-12/?navigateSource=resultlist
147,J.F. van Hengelstraat 50 1019 DC Amsterdam,126.0,650.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40093723-jf-van-hengelstraat-50/?navigateSource=resultlist
148,Wijkergouw 33 1023 NV Amsterdam,101.0,750.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40099930-wijkergouw-33/?navigateSource=resultlist
149,Keverberg 50 1082 BE Amsterdam,107.0,650.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40088788-keverberg-50/?navigateSource=resultlist
